night,threshold_name,threshold_value,accuracy,precision,recall,specificity,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_rem_epochs,predicted_rem_epochs,total_epochs
1,70% Confidence,0.4382,0.9302949061662198,0.0,0.0,0.9679218967921897,0.0,0,23,694,29,29,23,746
1,80% Confidence,0.6131,0.9504021447721179,0.0,0.0,0.9888423988842399,0.0,0,8,709,29,29,8,746
2,70% Confidence,0.4382,0.812992125984252,0.6097560975609756,0.2403846153846154,0.9603960396039604,0.3448275862068965,25,16,388,79,104,41,508
2,80% Confidence,0.6131,0.8208661417322834,0.8421052631578947,0.15384615384615385,0.9925742574257426,0.2601626016260163,16,3,401,88,104,19,508
3,70% Confidence,0.4382,0.8468244084682441,0.09322033898305085,0.4074074074074074,0.8621134020618557,0.15172413793103448,11,107,669,16,27,118,803
3,80% Confidence,0.6131,0.8966376089663761,0.12162162162162163,0.3333333333333333,0.9162371134020618,0.1782178217821782,9,65,711,18,27,74,803
4,70% Confidence,0.4382,0.8816425120772947,0.12222222222222222,0.36666666666666664,0.9010025062656641,0.18333333333333332,11,79,719,19,30,90,828
4,80% Confidence,0.6131,0.9335748792270532,0.1951219512195122,0.26666666666666666,0.9586466165413534,0.22535211267605634,8,33,765,22,30,41,828
5,70% Confidence,0.4382,0.7651515151515151,0.12048192771084337,0.10869565217391304,0.8714788732394366,0.11428571428571428,10,73,495,82,92,83,660
5,80% Confidence,0.6131,0.8181818181818182,0.1111111111111111,0.043478260869565216,0.9436619718309859,0.0625,4,32,536,88,92,36,660
6,70% Confidence,0.4382,0.8036072144288577,0.23170731707317074,0.35185185185185186,0.8584269662921349,0.27941176470588236,19,63,382,35,54,82,499
6,80% Confidence,0.6131,0.8356713426853707,0.18181818181818182,0.14814814814814814,0.9191011235955057,0.16326530612244897,8,36,409,46,54,44,499
7,70% Confidence,0.4382,0.8893333333333333,0.6827586206896552,0.7279411764705882,0.9250814332247557,0.704626334519573,99,46,568,37,136,145,750
7,80% Confidence,0.6131,0.8773333333333333,0.7115384615384616,0.5441176470588235,0.9511400651465798,0.6166666666666666,74,30,584,62,136,104,750
8,70% Confidence,0.4382,0.7062068965517241,0.16666666666666666,0.22123893805309736,0.795751633986928,0.19011406844106465,25,125,487,88,113,150,725
8,80% Confidence,0.6131,0.72,0.13114754098360656,0.1415929203539823,0.826797385620915,0.13617021276595745,16,106,506,97,113,122,725
9,70% Confidence,0.4382,0.9369024856596558,0.8071748878923767,0.8866995073891626,0.9489916963226572,0.8450704225352114,180,43,800,23,203,223,1046
9,80% Confidence,0.6131,0.9378585086042065,0.8484848484848485,0.8275862068965517,0.9644128113879004,0.8379052369077307,168,30,813,35,203,198,1046
10,70% Confidence,0.4382,0.8298453139217471,0.5316901408450704,0.7365853658536585,0.8512304250559284,0.6175869120654397,151,133,761,54,205,284,1099
10,80% Confidence,0.6131,0.8425841674249318,0.5689655172413793,0.6439024390243903,0.8881431767337807,0.6041189931350115,132,100,794,73,205,232,1099
11,70% Confidence,0.4382,0.8217054263565892,0.37,0.8604651162790697,0.8168604651162791,0.5174825174825175,74,126,562,12,86,200,774
11,80% Confidence,0.6131,0.8281653746770026,0.3672316384180791,0.7558139534883721,0.8372093023255814,0.49429657794676807,65,112,576,21,86,177,774
12,70% Confidence,0.4382,0.7663782447466008,0.3865979381443299,0.5172413793103449,0.8207831325301205,0.44247787610619466,75,119,545,70,145,194,809
12,80% Confidence,0.6131,0.7527812113720643,0.33727810650887574,0.3931034482758621,0.8313253012048193,0.3630573248407643,57,112,552,88,145,169,809
13,70% Confidence,0.4382,0.696329254727475,0.17578125,0.4205607476635514,0.7335858585858586,0.24793388429752067,45,211,581,62,107,256,899
13,80% Confidence,0.6131,0.7563959955506118,0.18181818181818182,0.29906542056074764,0.8181818181818182,0.22614840989399293,32,144,648,75,107,176,899
14,70% Confidence,0.4382,0.8611111111111112,0.0,0.0,0.8649553571428571,0.0,0,121,775,4,4,121,900
14,80% Confidence,0.6131,0.8966666666666666,0.0,0.0,0.9006696428571429,0.0,0,89,807,4,4,89,900
15,70% Confidence,0.4382,0.8312236286919831,0.4186046511627907,0.9152542372881356,0.8192771084337349,0.574468085106383,108,150,680,10,118,258,948
15,80% Confidence,0.6131,0.8470464135021097,0.4410480349344978,0.8559322033898306,0.8457831325301205,0.5821325648414986,101,128,702,17,118,229,948
16,70% Confidence,0.4382,0.8308270676691729,0.4128113879003559,0.8854961832061069,0.8231511254019293,0.5631067961165048,116,165,768,15,131,281,1064
16,80% Confidence,0.6131,0.8721804511278195,0.4873096446700508,0.732824427480916,0.8917470525187567,0.5853658536585367,96,101,832,35,131,197,1064
17,70% Confidence,0.4382,0.9043126684636119,0.9428571428571428,0.49624060150375937,0.993431855500821,0.6502463054187193,66,4,605,67,133,70,742
17,80% Confidence,0.6131,0.8746630727762803,0.9166666666666666,0.3308270676691729,0.993431855500821,0.4861878453038673,44,4,605,89,133,48,742
18,70% Confidence,0.4382,0.7987421383647799,0.5,0.4921875,0.8759842519685039,0.49606299212598426,63,63,445,65,128,126,636
18,80% Confidence,0.6131,0.8066037735849056,0.5454545454545454,0.234375,0.9507874015748031,0.3278688524590164,30,25,483,98,128,55,636
19,70% Confidence,0.4382,0.88,0.7932692307692307,0.6903765690376569,0.9415760869565217,0.738255033557047,165,43,693,74,239,208,975
19,80% Confidence,0.6131,0.8553846153846154,0.8828125,0.47280334728033474,0.9796195652173914,0.6158038147138964,113,15,721,126,239,128,975
20,70% Confidence,0.4382,0.8782122905027933,0.8157894736842105,0.6048780487804878,0.9594202898550724,0.6946778711484594,124,28,662,81,205,152,895
20,80% Confidence,0.6131,0.8335195530726257,0.9117647058823529,0.3024390243902439,0.991304347826087,0.45421245421245426,62,6,684,143,205,68,895
